"Tracklist short","ID"
"1. Praying Mantra - Material
2. Democracy - Killing Joke
3. Satellite Serenade - Keiichi Suzuki
4. Fast Forward The Future - Zodiac Youth
5. Higher Than The Sun - Primal Scream
6. Ambiant State - Ready Made
7. So And Slow It Grows - Wir
8. Secret Squirrel",101
"1. Radio Edit ( 3:38 )

2. Für immer im weißen Raum mit Carlos Peron ( 7:11 )

3. Album Edit ( 5:01 )

4. Lucifers Request ( 6:50 )",102
"1. Starband - Stella splendens
2. Hortus Musicus - Ninguno cierre las puertas
3. Adaro - Se ome fezer de grado
4. Die Streuner - Die Räuber
5. Spectaculatius - Der König und der Bettler
6. Airim - Follw me up to Carlow
7. Corvus Corax - Mit dans is all di",103
"1. Synchronize With Me (4:42)
2. Dark Mind (4:00)
3. Digital Dreams (5:09)
4. And I Created Woman (4:16)
5. Coitus Interstellaris (3:59)
6. Use Your Options (4:47)
7. Trapped In Your Fantasy (4:15)
8. Gay Encounters (4:16)
9. Sweet Torture (4:56)
10. Term",104
"1. White Horse - Laid Back
2. Problemes D'Amour - Alexander Robotnic
3. Bostich - Yello
4. Aspectacle (Holger Czukay mix) - Can
5. Ciguri - Material
6. Get Down - Connie Case
7. Timewarp - Coach House Rhythm Section (The)
8. Let's Go Swimming - Arthur Rus",105
"1.01	101	 - 	Rock To The Beat (5:34)
1.02	Jamie Principle	- 	Baby Wants To Ride (6:25)
1.03	Kate B	- 	Breakdown (4:18)
1.04	WestBam	- 	Monkey Say, Monkey Do (I Wanna Do) (6:47)
1.05	Dr. Phibes (DUPLICATE)	- 	Acid Story (Original Radio Edit) (4:33)
1.06	We",106
"1.01	Dune (3)	 - 	Hardcore Vibes (Good Vibes Mix)
1.02	Tofke feat. Insider	- 	Un Coketoff
1.03	Digital Express	- 	Man, Women, Love
1.04	S.B.E.	- 	God's Back
1.05	Cerpent	- 	Class One
1.06	System 01	- 	Drugs Work
1.07	Encephaloïd Disturbance	- 	Anaesthetic",107
"1.01	Masterboy	 - 	Feel The Heat Of The Night (Special Maxi Power Mix) (5:05)
1.02	Stella Getz	- 	Dr. Love (Extended Version) (3:58)
1.03	Ice MC	- 	Think About The Way (Extended Mix) (6:05)
1.04	2 Unlimited	- 	The Real Thing (Extended) (6:20)
1.05	Marusha",108
"1.01	Paffendorf	 - 	Where Are You (Radio Edit) (3:27)
1.02	Beam & Yanou	- 	Rainbow Of Mine (Video Mix) (3:54)
1.03	E Nomine	- 	E Nomine (Denn Sie Wissen Nicht Was Sie Tun) (Video Edit) (3:43)
1.04	Giorgio vs. Talla 2XLC (DUPLICATE)	- 	E=mc² (Radio Edit) (",109
"1.1	Yello	 - 	Bostich
1.2	Yazoo	- 	Situation (1982 Remix)
1.3	Pili Pili	- 	Hoomba Hoomba
1.4	Kissing The Pink	- 	Big Man Restless
1.5	Voyou	- 	Houseman
1.6	Holger Czukay	- 	How Much Are They
1.7	Umo Detic	- 	Fahrenheit
1.8	Xymox	- 	Michelle
2.1	Blancmange",110
"1.Depeche Mode Vol 1. 2.Pet Shop Boys Rare Remixes & Megamixes. 3.Yazoo The 12 inch mixes & megamix. 4.Abba The Remix Project. 5.The Megamixes! (New Order megamix-Yello megamix).",111
